"Dado5","Dado10","Dado20","Dado40","Coluna.controle"
-3.61039748068953,NA,NA,NA,-3.61039748068953
NA,NA,NA,NA,-3.62999284977407
-2.68582974422636,-2.68582974422636,NA,NA,-2.68582974422636
-3.30277947645594,NA,NA,NA,-3.30277947645594
-3.07530718140362,NA,NA,NA,-3.07530718140362
-3.01609862896379,NA,NA,NA,-3.01609862896379
-2.05332960253915,-2.05332960253915,NA,NA,-2.05332960253915
-2.58852926352052,-2.58852926352052,NA,NA,-2.58852926352052
NA,NA,NA,NA,-3.86145287323665
-2.06197943265245,-2.06197943265245,NA,NA,-2.06197943265245
-3.15153987816492,NA,NA,NA,-3.15153987816492
-2.76218568209764,-2.76218568209764,NA,NA,-2.76218568209764
-2.61902002923238,-2.61902002923238,NA,NA,-2.61902002923238
NA,NA,NA,NA,-4.07576762526382
NA,NA,NA,NA,-4.45149327766132
-3.24940004405109,NA,NA,NA,-3.24940004405109
NA,NA,NA,NA,-4.61938749219344
-2.90437197210741,NA,NA,NA,-2.90437197210741
NA,NA,NA,NA,-4.23704138410455
-3.13042361927171,NA,NA,NA,-3.13042361927171
-3.03159754309283,NA,NA,NA,-3.03159754309283
-3.22093309144437,NA,NA,NA,-3.22093309144437
-3.57508175734244,NA,NA,NA,-3.57508175734244
NA,NA,NA,NA,-4.32139063776392
NA,NA,NA,NA,-5.03776035403405
-2.16928033074831,-2.16928033074831,NA,NA,-2.16928033074831
-3.26928081322231,NA,NA,NA,-3.26928081322231
-2.36911108049014,-2.36911108049014,NA,NA,-2.36911108049014
-1.80863151644375,-1.80863151644375,NA,NA,-1.80863151644375
-2.00081488623194,-2.00081488623194,NA,NA,-2.00081488623194
-1.9103328768776,-1.9103328768776,NA,NA,-1.9103328768776
-0.178353298932995,-0.178353298932995,-0.178353298932995,-0.178353298932995,-0.178353298932995
-1.49921482808651,-1.49921482808651,-1.49921482808651,NA,-1.49921482808651
-0.665414026006328,-0.665414026006328,-0.665414026006328,NA,-0.665414026006328
-0.560488554561387,-0.560488554561387,-0.560488554561387,NA,-0.560488554561387
-0.271295275582712,-0.271295275582712,-0.271295275582712,-0.271295275582712,-0.271295275582712
-0.430769978379246,-0.430769978379246,-0.430769978379246,-0.430769978379246,-0.430769978379246
1.79113447950502,1.79113447950502,1.79113447950502,1.79113447950502,1.79113447950502
-0.46895767905079,-0.46895767905079,-0.46895767905079,-0.46895767905079,-0.46895767905079
0.905957859172443,0.905957859172443,0.905957859172443,0.905957859172443,0.905957859172443
-1.972785107891,-1.972785107891,NA,NA,-1.972785107891
-0.494915433514538,-0.494915433514538,-0.494915433514538,-0.494915433514538,-0.494915433514538
-1.01061213203261,-1.01061213203261,-1.01061213203261,NA,-1.01061213203261
-0.42860179601816,-0.42860179601816,-0.42860179601816,-0.42860179601816,-0.42860179601816
-0.808728902080253,-0.808728902080253,-0.808728902080253,NA,-0.808728902080253
-1.12320913380807,-1.12320913380807,-1.12320913380807,NA,-1.12320913380807
-2.13874141329007,-2.13874141329007,NA,NA,-2.13874141329007
-1.4106581173491,-1.4106581173491,-1.4106581173491,NA,-1.4106581173491
-1.32348551745634,-1.32348551745634,-1.32348551745634,NA,-1.32348551745634
-2.09486120344097,-2.09486120344097,NA,NA,-2.09486120344097
-1.06753047357877,-1.06753047357877,-1.06753047357877,NA,-1.06753047357877
-0.897404632028078,-0.897404632028078,-0.897404632028078,NA,-0.897404632028078
