"Dado5","Dado10","Dado20","Dado40","Coluna.controle"
-2.64201247065564,-2.64201247065564,-2.64201247065564,NA,-2.64201247065564
-1.5720681833422,-1.5720681833422,-1.5720681833422,-1.5720681833422,-1.5720681833422
-1.54450222373858,-1.54450222373858,-1.54450222373858,-1.54450222373858,-1.54450222373858
-1.60082487564284,-1.60082487564284,-1.60082487564284,-1.60082487564284,-1.60082487564284
-2.84452023522842,-2.84452023522842,-2.84452023522842,NA,-2.84452023522842
-3.01510838050529,-3.01510838050529,-3.01510838050529,NA,-3.01510838050529
-1.60766805688566,-1.60766805688566,-1.60766805688566,-1.60766805688566,-1.60766805688566
-2.57254692950907,-2.57254692950907,-2.57254692950907,NA,-2.57254692950907
-3.7732173429662,-3.7732173429662,NA,NA,-3.7732173429662
-4.628359571674,NA,NA,NA,-4.628359571674
-2.57629929902705,-2.57629929902705,-2.57629929902705,NA,-2.57629929902705
-3.34469136760007,-3.34469136760007,-3.34469136760007,NA,-3.34469136760007
-1.64783694477695,-1.64783694477695,-1.64783694477695,-1.64783694477695,-1.64783694477695
-1.52892220392769,-1.52892220392769,-1.52892220392769,-1.52892220392769,-1.52892220392769
-1.88022240345331,-1.88022240345331,-1.88022240345331,-1.88022240345331,-1.88022240345331
-0.54641719823611,-0.54641719823611,-0.54641719823611,-0.54641719823611,-0.54641719823611
-0.288949203301214,-0.288949203301214,-0.288949203301214,-0.288949203301214,-0.288949203301214
-1.40313678186816,-1.40313678186816,-1.40313678186816,-1.40313678186816,-1.40313678186816
-1.27049909364164,-1.27049909364164,-1.27049909364164,-1.27049909364164,-1.27049909364164
-2.15285452886485,-2.15285452886485,-2.15285452886485,-2.15285452886485,-2.15285452886485
-1.63528754154002,-1.63528754154002,-1.63528754154002,-1.63528754154002,-1.63528754154002
-2.17091504330707,-2.17091504330707,-2.17091504330707,-2.17091504330707,-2.17091504330707
-1.68989226648973,-1.68989226648973,-1.68989226648973,-1.68989226648973,-1.68989226648973
-1.10764069114078,-1.10764069114078,-1.10764069114078,-1.10764069114078,-1.10764069114078
-0.476311567641817,-0.476311567641817,-0.476311567641817,-0.476311567641817,-0.476311567641817
1.58145540866759,1.58145540866759,1.58145540866759,1.58145540866759,1.58145540866759
-0.709574637560835,-0.709574637560835,-0.709574637560835,-0.709574637560835,-0.709574637560835
-1.28878886270287,-1.28878886270287,-1.28878886270287,-1.28878886270287,-1.28878886270287
-0.0194784808503198,-0.0194784808503198,-0.0194784808503198,-0.0194784808503198,-0.0194784808503198
-0.940353411876016,-0.940353411876016,-0.940353411876016,-0.940353411876016,-0.940353411876016
-0.191033634917184,-0.191033634917184,-0.191033634917184,-0.191033634917184,-0.191033634917184
1.03665473235098,1.03665473235098,1.03665473235098,1.03665473235098,1.03665473235098
-2.36638699222977,-2.36638699222977,-2.36638699222977,NA,-2.36638699222977
-0.169336802361985,-0.169336802361985,-0.169336802361985,-0.169336802361985,-0.169336802361985
-3.39591000484249,-3.39591000484249,-3.39591000484249,NA,-3.39591000484249
-0.371586164630478,-0.371586164630478,-0.371586164630478,-0.371586164630478,-0.371586164630478
-2.33142024076091,-2.33142024076091,-2.33142024076091,NA,-2.33142024076091
-1.81942971494637,-1.81942971494637,-1.81942971494637,-1.81942971494637,-1.81942971494637
-2.26917971365727,-2.26917971365727,-2.26917971365727,-2.26917971365727,-2.26917971365727
-1.85027451603039,-1.85027451603039,-1.85027451603039,-1.85027451603039,-1.85027451603039
-2.86809688953332,-2.86809688953332,-2.86809688953332,NA,-2.86809688953332
-1.87583647053211,-1.87583647053211,-1.87583647053211,-1.87583647053211,-1.87583647053211
-2.49726896612712,-2.49726896612712,-2.49726896612712,NA,-2.49726896612712
-2.12895694723098,-2.12895694723098,-2.12895694723098,-2.12895694723098,-2.12895694723098
-1.79088774571961,-1.79088774571961,-1.79088774571961,-1.79088774571961,-1.79088774571961
-0.248084188077966,-0.248084188077966,-0.248084188077966,-0.248084188077966,-0.248084188077966
-2.24561440044256,-2.24561440044256,-2.24561440044256,-2.24561440044256,-2.24561440044256
-0.806391042439275,-0.806391042439275,-0.806391042439275,-0.806391042439275,-0.806391042439275
-0.722343452569311,-0.722343452569311,-0.722343452569311,-0.722343452569311,-0.722343452569311
-0.699720413864567,-0.699720413864567,-0.699720413864567,-0.699720413864567,-0.699720413864567
0.309081651891907,0.309081651891907,0.309081651891907,0.309081651891907,0.309081651891907
-1.2806485074416,-1.2806485074416,-1.2806485074416,-1.2806485074416,-1.2806485074416
-1.52870237808985,-1.52870237808985,-1.52870237808985,-1.52870237808985,-1.52870237808985
-3.36290955301525,-3.36290955301525,-3.36290955301525,NA,-3.36290955301525
-3.05091605107116,-3.05091605107116,-3.05091605107116,NA,-3.05091605107116
-2.75756615920262,-2.75756615920262,-2.75756615920262,NA,-2.75756615920262
-0.778682730895533,-0.778682730895533,-0.778682730895533,-0.778682730895533,-0.778682730895533
-0.882176186210674,-0.882176186210674,-0.882176186210674,-0.882176186210674,-0.882176186210674
-0.808663362455207,-0.808663362455207,-0.808663362455207,-0.808663362455207,-0.808663362455207
-1.79250120128473,-1.79250120128473,-1.79250120128473,-1.79250120128473,-1.79250120128473
-3.56167612523323,-3.56167612523323,NA,NA,-3.56167612523323
-1.46688608247778,-1.46688608247778,-1.46688608247778,-1.46688608247778,-1.46688608247778
-2.51708147706504,-2.51708147706504,-2.51708147706504,NA,-2.51708147706504
-3.56138824740984,-3.56138824740984,NA,NA,-3.56138824740984
NA,NA,NA,NA,-5.46227168960271
NA,NA,NA,NA,-5.31592507728389
NA,NA,NA,NA,-5.02466709860568
-4.06125312352144,NA,NA,NA,-4.06125312352144
-4.75106879227697,NA,NA,NA,-4.75106879227697
-3.5303038890557,-3.5303038890557,NA,NA,-3.5303038890557
NA,NA,NA,NA,-4.77211118733245
-2.21103032506527,-2.21103032506527,-2.21103032506527,-2.21103032506527,-2.21103032506527
-3.88671911409426,NA,NA,NA,-3.88671911409426
-2.82696628612553,-2.82696628612553,-2.82696628612553,NA,-2.82696628612553
-3.83720935437806,-3.83720935437806,NA,NA,-3.83720935437806
-3.52008959580156,-3.52008959580156,NA,NA,-3.52008959580156
-3.41921195318296,-3.41921195318296,NA,NA,-3.41921195318296
NA,NA,NA,NA,-5.03459520541542
-3.03766231416441,-3.03766231416441,-3.03766231416441,NA,-3.03766231416441
